vertice,out degree centrality
user_0,0.9667
user_343,0.4778
user_108,0.46
user_259,0.4578
user_251,0.4378
user_324,0.4178
user_228,0.3844
user_440,0.3822
user_367,0.38
user_408,0.3733
user_340,0.3644
user_56,0.3622
user_171,0.3622
user_122,0.36
user_447,0.3533
user_428,0.3489
user_42,0.3489
user_414,0.3422
user_136,0.3422
user_247,0.34
user_311,0.3378
user_199,0.3356
user_220,0.3356
user_134,0.3333
user_364,0.3333
user_19,0.3311
user_424,0.3311
user_341,0.3289
user_63,0.3289
user_396,0.3289
user_191,0.3244
user_221,0.3222
user_274,0.32
user_323,0.32
user_167,0.3178
user_388,0.3156
user_200,0.3156
user_234,0.3156
user_353,0.3133
user_72,0.3133
user_100,0.3111
user_26,0.3111
user_50,0.3067
user_394,0.3044
user_326,0.3044
user_130,0.3022
user_410,0.3
user_346,0.3
user_395,0.3
user_354,0.3
user_393,0.2978
user_397,0.2933
user_35,0.2911
user_331,0.2911
user_196,0.2911
user_150,0.2867
user_347,0.2867
user_203,0.2844
user_145,0.2822
user_102,0.28
user_236,0.28
user_382,0.28
user_249,0.2778
user_402,0.2778
user_357,0.2733
user_86,0.2711
user_5,0.2711
user_216,0.2711
user_31,0.2711
user_177,0.2711
user_194,0.2689
user_434,0.2667
user_243,0.2667
user_98,0.2644
user_363,0.2644
user_337,0.2644
user_332,0.2644
user_17,0.2622
user_181,0.2622
user_201,0.26
user_164,0.26
user_121,0.26
user_386,0.26
user_448,0.2556
user_226,0.2556
user_305,0.2533
user_375,0.2533
user_71,0.2533
user_113,0.2533
user_147,0.2533
user_96,0.2533
user_302,0.2511
user_182,0.2489
user_124,0.2489
user_149,0.2489
user_3,0.2489
user_155,0.2467
user_211,0.2444
user_309,0.2422
user_15,0.2422
user_262,0.2378
user_141,0.2378
user_437,0.2356
user_264,0.2333
user_258,0.2333
user_265,0.2289
user_69,0.2289
user_138,0.2244
user_209,0.2244
user_406,0.2244
user_419,0.2244
user_322,0.2244
user_117,0.2222
user_266,0.22
user_190,0.2178
user_425,0.2178
user_281,0.2178
user_431,0.2156
user_315,0.2156
user_14,0.2133
user_94,0.2111
user_115,0.2089
user_384,0.2067
user_74,0.2067
user_111,0.2067
user_244,0.2044
user_139,0.2044
user_174,0.2022
user_334,0.2022
user_391,0.2022
user_4,0.2022
user_256,0.2
user_81,0.2
user_359,0.1978
user_53,0.1978
user_88,0.1933
user_313,0.1933
user_272,0.1933
user_277,0.1933
user_202,0.1933
user_8,0.1911
user_412,0.1911
user_321,0.1911
user_411,0.1911
user_135,0.1889
user_227,0.1889
user_443,0.1867
user_294,0.1844
user_54,0.1844
user_1,0.1844
user_270,0.18
user_298,0.18
user_144,0.18
user_268,0.18
user_126,0.18
user_46,0.18
user_441,0.1778
user_24,0.1756
user_106,0.1756
user_300,0.1756
user_29,0.1756
user_400,0.1733
user_436,0.1733
user_275,0.1733
user_83,0.1711
user_352,0.1711
user_288,0.1689
user_48,0.1689
user_392,0.1689
user_33,0.1689
user_25,0.1667
user_172,0.1667
user_421,0.1667
user_168,0.1667
user_40,0.1644
user_93,0.1644
user_158,0.1644
user_68,0.1644
user_260,0.1644
user_73,0.1622
user_278,0.1622
user_379,0.1622
user_131,0.16
user_185,0.1578
user_21,0.1556
user_148,0.1556
user_407,0.1556
user_38,0.1533
user_361,0.1511
user_439,0.1511
user_6,0.1511
user_239,0.1489
user_39,0.1489
user_192,0.1489
user_64,0.1489
user_104,0.1489
user_212,0.1467
user_399,0.1444
user_248,0.1444
user_188,0.1444
user_137,0.1444
user_225,0.1422
user_429,0.1422
user_128,0.14
user_23,0.14
user_286,0.1378
user_163,0.1356
user_235,0.1333
user_293,0.1311
user_232,0.1289
user_360,0.1244
user_409,0.1244
user_213,0.1222
user_89,0.1222
user_193,0.12
user_404,0.12
user_283,0.1156
user_330,0.1156
user_77,0.1156
user_373,0.1156
user_377,0.1156
user_450,0.1133
user_142,0.1111
user_84,0.1111
user_413,0.1111
user_307,0.1111
user_257,0.1111
user_79,0.1111
user_91,0.1089
user_374,0.1089
user_30,0.1067
user_284,0.1067
user_401,0.1022
user_55,0.1022
user_129,0.1022
user_103,0.1
user_368,0.1
user_335,0.1
user_271,0.0978
user_297,0.0978
user_154,0.0978
user_261,0.0956
user_430,0.0956
user_208,0.0956
user_205,0.0956
user_338,0.0933
user_241,0.0933
user_427,0.0933
user_291,0.0911
user_160,0.0911
user_362,0.0911
user_173,0.0911
user_267,0.0911
user_442,0.0889
user_252,0.0889
user_380,0.0889
user_52,0.0889
user_306,0.0889
user_178,0.0867
user_345,0.0867
user_13,0.0844
user_195,0.0844
user_328,0.0844
user_342,0.0822
user_101,0.0822
user_151,0.0822
user_92,0.0822
user_146,0.0822
user_125,0.0822
user_80,0.08
user_189,0.08
user_444,0.08
user_156,0.08
user_290,0.08
user_165,0.08
user_325,0.0778
user_371,0.0778
user_105,0.0778
user_296,0.0778
user_95,0.0778
user_218,0.0756
user_78,0.0756
user_223,0.0756
user_222,0.0756
user_355,0.0733
user_255,0.0733
user_349,0.0733
user_358,0.0711
user_299,0.0689
user_7,0.0667
user_351,0.0667
user_254,0.0667
user_245,0.0667
user_90,0.0667
user_310,0.0667
user_184,0.0667
user_446,0.0667
user_67,0.0644
user_153,0.0644
user_422,0.0644
user_10,0.0644
user_28,0.0644
user_66,0.0644
user_12,0.0622
user_116,0.0622
user_303,0.0622
user_214,0.0622
user_376,0.0622
user_390,0.06
user_57,0.06
user_127,0.06
user_41,0.06
user_320,0.06
user_27,0.06
user_2,0.0578
user_70,0.0578
user_44,0.0578
user_109,0.0578
user_435,0.0578
user_175,0.0556
user_387,0.0556
user_34,0.0556
user_45,0.0533
user_280,0.0533
user_9,0.0533
user_118,0.0533
user_132,0.0533
user_403,0.0511
user_143,0.0511
user_369,0.0511
user_417,0.0511
user_378,0.0511
user_304,0.0511
user_162,0.0511
user_179,0.0511
user_415,0.0489
user_65,0.0489
user_43,0.0489
user_418,0.0467
user_82,0.0467
user_316,0.0444
user_183,0.0444
user_273,0.0444
user_246,0.0444
user_237,0.0422
user_170,0.0422
user_318,0.0422
user_416,0.0422
user_32,0.0422
user_229,0.0422
user_329,0.04
user_99,0.04
user_438,0.04
user_327,0.0378
user_279,0.0378
user_426,0.0378
user_161,0.0378
user_269,0.0378
user_308,0.0356
user_420,0.0356
user_210,0.0356
user_405,0.0356
user_169,0.0356
user_123,0.0333
user_133,0.0333
user_219,0.0311
user_350,0.0311
user_62,0.0311
user_22,0.0311
user_152,0.0289
user_295,0.0289
user_157,0.0289
user_206,0.0289
user_339,0.0289
user_76,0.0267
user_85,0.0267
user_187,0.0267
user_140,0.0267
user_112,0.0267
user_276,0.0267
user_449,0.0244
user_18,0.0244
user_120,0.0244
user_312,0.0222
user_287,0.0222
user_250,0.0222
user_16,0.0222
user_230,0.0222
user_289,0.0222
user_159,0.0222
user_110,0.0222
user_366,0.0222
user_242,0.02
user_292,0.02
user_180,0.02
user_197,0.02
user_215,0.02
user_445,0.0178
user_301,0.0178
user_263,0.0178
user_107,0.0156
user_432,0.0156
user_348,0.0156
user_344,0.0156
user_336,0.0156
user_20,0.0133
user_36,0.0133
user_51,0.0133
user_381,0.0133
user_398,0.0133
user_217,0.0133
user_314,0.0133
user_75,0.0133
user_37,0.0133
user_97,0.0133
user_385,0.0111
user_370,0.0111
user_389,0.0111
user_423,0.0111
user_233,0.0111
user_224,0.0111
user_365,0.0111
user_333,0.0089
user_47,0.0089
user_319,0.0089
user_285,0.0089
user_114,0.0089
user_282,0.0089
user_204,0.0089
user_253,0.0089
user_186,0.0089
user_372,0.0089
user_87,0.0089
user_119,0.0067
user_240,0.0067
user_49,0.0067
user_166,0.0067
user_11,0.0044
user_231,0.0044
user_383,0.0044
user_198,0.0044
user_207,0.0044
user_317,0.0044
user_356,0.0022
user_238,0.0022
user_433,0.0022
user_176,0.0022
user_59,0.0
user_58,0.0
user_61,0.0
user_60,0.0
